userID,songID,rating,songName,year,artist,genre
1420,787,1,Ragoo,2007,Kings Of Leon,Rock
2110,503,1.494917871414299,In The End (Album Version),2000,Linkin Park,Rock
513,190,1.9898357428285987,Not Fair (Clean Radio Edit),2009,Lily Allen,Pop
1323,688,1.494917871414299,A Message,2005,Coldplay,Rock
431,467,1,I Will Follow You into the Dark (Album Version),2005,Death Cab for Cutie,Rock
709,171,1,Down To Earth,2009,Justin Bieber,Pop
2270,264,1,Adventures In Solitude,2007,The New Pornographers,Rock
269,491,1.9898357428285987,Music Is Happiness,2005,Octopus Project,Rock
369,600,2.7742620099569963,Revelry,2008,Kings Of Leon,Rock
1937,154,1.494917871414299,Ghosts 'n' Stuff (Original Instrumental Mix),2009,Deadmau5,Electronic
1276,651,1.7844262671283984,Toxic,2003,Britney Spears,Pop
787,185,1,Yes,2003,Beyonce,RnB
1796,556,1,Obsessed,2009,Miley Cyrus,Pop
1154,607,1,Stuck In The Moment,2010,Justin Bieber,Pop
1057,775,1,Say You Will,2008,Kanye West,Rap
1213,252,1.494917871414299,Lifespan Of A Fly,2009,the bird and the bee,Pop
395,161,1,Monster,2009,Lady GaGa,Pop
128,334,1,Too Far Gone,2001,The All-American Rejects,Rock
1997,755,1,Rememo,2004,Kings Of Leon,Rock
2394,724,1.494917871414299,Moon And Moon,2009,Bat For Lashes,Rock
365,277,1.494917871414299,It's Only Divine Right,2003,The New Pornographers,Rock
1698,615,1,Daylight,2002,Coldplay,Rock
850,110,2.389410122329216,Mia,2007,Emmy The Great,Folk
2335,689,1.7844262671283984,Party In The U.S.A.,2009,Miley Cyrus,Pop
2354,474,2.9796714856571973,I Want You,2008,Kings Of Leon,Rock
370,249,1,Marshall Examines His Carcass,2002,Octopus Project,Rock
2384,76,2.568852534256797,Magic,2008,The Pussycat Dolls,Pop
1242,70,1,Don't Leave Me,2001,The All-American Rejects,Rock
735,592,1,Taste Test,1996,Sleater-kinney,Rock
1670,35,2.7121345329993094,Imma Be,2009,Black Eyed Peas,Rap
913,466,1,Caring Is Creepy,2001,The Shins,Rock
2420,296,1.494917871414299,Video Girl,2008,Jonas Brothers,Pop
2174,277,1,It's Only Divine Right,2003,The New Pornographers,Rock
